artist,id,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,popularity
Maroon 5,2b8fOow8UzyDFAE27YhOZM,Memories,0.764,0.32,11.0,-7.209,1.0,0.0546,0.8370000000000001,0.0,0.0822,0.575,91.019,99
Dua Lipa,6WrI0LAC5M1Rw2MnX2ZvEg,Don't Start Now,0.794,0.7929999999999999,11.0,-4.521,0.0,0.0842,0.0125,0.0,0.0952,0.677,123.941,95
Billie Eilish,3ZCTVFBt2Brf31RLEnCkWJ,everything i wanted,0.7040000000000001,0.225,6.0,-14.454,0.0,0.0994,0.902,0.657,0.106,0.243,120.006,94
Arizona Zervas,696DnlkuDOXcMAnKlTgXXK,ROXANNE,0.621,0.601,6.0,-5.6160000000000005,0.0,0.148,0.0522,0.0,0.46,0.457,116.735,88
Post Malone,4VginDwYTP2eaHJzO0QMjG,Circles,0.7040000000000001,0.758,0.0,-3.537,1.0,0.0402,0.233,0.00144,0.0924,0.534,120.003,68
Tones and I,421leiR6jKlH5KDdwLYrOs,Dance Monkey,0.8240000000000001,0.5920000000000001,6.0,-6.4,0.0,0.0969,0.693,0.000158,0.178,0.54,98.074,56
Selena Gomez,1HfMVBKM75vxSfsQ5VefZ5,Lose You To Love Me,0.505,0.34,4.0,-9.005,1.0,0.0438,0.5760000000000001,0.0,0.21,0.0916,101.993,99
SHAED,1iQDltZqI7BXnHrFy4Qo1k,Trampoline (with ZAYN),0.619,0.4589999999999999,7.0,-5.782,0.0,0.0334,0.56,0.0,0.1369999999999999,0.498,126.803,93
blackbear,7aiClxsDWFRQ0Kzk5KI5ku,hot girl bummer,0.778,0.5589999999999999,6.0,-7.109,0.0,0.0776,0.128,0.0,0.3989999999999999,0.6779999999999999,129.989,97
Harry Styles,2plLJpUcYPFrl1sW2pMG63,Lights Up,0.585,0.62,3.0,-8.09,0.0,0.0327,0.0426,0.00224,0.15,0.281,101.939,95
Lewis Capaldi,7ce20yLkzuXXLUhzIDoZih,Before You Go,0.4589999999999999,0.575,3.0,-4.8580000000000005,1.0,0.0573,0.604,0.0,0.0885,0.183,111.881,77
Khalid,1mpD5Q8IM32I4bF6eCpU74,Up All Night,0.665,0.7120000000000001,1.0,-7.536,1.0,0.0527,0.00103,0.00342,0.102,0.669,93.989,83
Camila Cabello,7LzouaWGFCy4tkXDOOnEyM,Liar,0.74,0.498,11.0,-6.684,0.0,0.0456,0.0169,0.00282,0.319,0.652,98.016,94
Selena Gomez,4yI3HpbSFSgFZtJP2kDe5m,Look At Her Now,0.563,0.564,10.0,-7.906000000000001,0.0,0.271,0.114,0.0254,0.304,0.55,154.355,93
Lizzo,07Oz5StQ7GRoygNLaXs2pd,Good as Hell (feat. Ariana Grande) - Remix,0.6679999999999999,0.892,5.0,-3.0010000000000003,0.0,0.0645,0.298,0.0,0.735,0.478,95.927,91
Taylor Swift,3i9UVldZOE0aD0JnyfAZZ0,Lover (Remix) [feat. Shawn Mendes],0.4479999999999999,0.603,7.0,-7.176,1.0,0.064,0.433,0.0,0.0862,0.422,205.272,86
Lauv,3GRSqlALWISqLeNncZMbpX,Mean It,0.746,0.45,7.0,-8.543,1.0,0.0872,0.0407,0.0,0.172,0.336,95.998,85
Halsey,6V9fHiv84WlVTg7CSnIVY2,Graveyard,0.667,0.583,11.0,-5.127000000000001,0.0,0.0747,0.231,4.48e-05,0.181,0.187,92.043,92
Harry Styles,1e9oZCCiX42nJl0AcqriVo,Watermelon Sugar,0.5479999999999999,0.816,0.0,-4.209,1.0,0.0465,0.122,0.0,0.335,0.557,95.39,86
Ant Saunders,20JtELGPfOAMq7FpUt8eSM,Yellow Hearts,0.866,0.3989999999999999,7.0,-10.938,1.0,0.0745,0.1169999999999999,0.0,0.0689,0.713,129.047,84
Ed Sheeran,4vUmTMuQqjdnvlZmAH61Qk,South of the Border (feat. Camila Cabello & Cardi B),0.857,0.621,9.0,-6.376,0.0,0.0824,0.148,0.0,0.0865,0.6679999999999999,97.986,93
Niall Horan,3cphb8kdsjElYR7r5icK3H,Nice To Meet Ya,0.591,0.841,4.0,-4.351,0.0,0.0304,0.0119,0.0,0.395,0.392,109.034,90
Lewis Capaldi,7qEHsqek33rTcFNT9PFqLf,Someone You Loved,0.501,0.405,1.0,-5.678999999999999,1.0,0.0319,0.7509999999999999,0.0,0.105,0.446,109.891,96
Zedd,5aUSEPNd3m5xliFK4pn5mU,Good Thing (with Kehlani),0.693,0.564,1.0,-3.857,0.0,0.0378,0.3989999999999999,0.0,0.0409,0.574,185.913,89
Major Lazer,0Z26mbSHJ1dkUu7g9DDgif,Trigger,0.57,0.585,8.0,-7.041,1.0,0.251,0.128,9.7e-05,0.111,0.3779999999999999,97.285,88
Trevor Daniel,4TnjEaWOeW0eKTKIEvJyCa,Falling,0.784,0.43,10.0,-8.756,0.0,0.0364,0.123,0.0,0.0887,0.236,127.087,85
Travis Scott,3eekarcy7kvN4yt5ZFzltW,HIGHEST IN THE ROOM,0.598,0.427,7.0,-8.764,0.0,0.0317,0.0546,5.83e-06,0.21,0.0605,76.469,98
The Black Eyed Peas,6cy3ki60hLwimwIje7tALf,RITMO (Bad Boys For Life),0.721,0.716,10.0,-7.037000000000001,0.0,0.0657,0.0334,0.00084,0.237,0.667,104.994,96
Regard,2tnVG71enUj33Ic2nFN6kZ,Ride It,0.893,0.748,7.0,-4.299,0.0,0.0821,0.272,1.62e-05,0.093,0.867,117.958,95
Camila Cabello,1jg9clsGCDqOumfS0X5xm9,Living Proof,0.735,0.514,7.0,-5.464,1.0,0.0819999999999999,0.109,0.0,0.359,0.517,77.566,80
Marshmello,7jzldCBnJjpJM3epzJ85KE,Tongue Tied (with YUNGBLUD & blackbear),0.628,0.821,1.0,-2.721,0.0,0.0525,0.0208,0.0,0.426,0.465,93.001,79
DaBaby,6Ozh9Ok6h4Oi1wUSLtBseN,BOP,0.769,0.787,11.0,-3.909,1.0,0.367,0.1889999999999999,0.0,0.129,0.836,126.77,89
Doja Cat,1VJwtWR6z7SpZRwipI12be,Candy,0.6890000000000001,0.516,8.0,-5.857,1.0,0.0444,0.513,0.0,0.163,0.209,124.876,85
Sam Smith,6b2RcmUt1g9N9mQ3CbjX2Y,How Do You Sleep?,0.477,0.682,1.0,-4.931,0.0,0.0925,0.153,0.0,0.0763,0.345,110.567,95
MEDUZA,7CHi4DtfK4heMlQaudCuHK,Lose Control,0.598,0.526,10.0,-8.658999999999999,0.0,0.0415,0.129,0.0,0.14,0.529,123.935,91
Kanye West,2QpGZOhTCHHiKmpSO9FW4h,Follow God,0.529,0.9,1.0,-3.503,1.0,0.418,0.000248,1.21e-05,0.0426,0.434,180.291,93
Stormzy,07s9NNOT0sZQp7TyolLLgu,Own It (feat. Ed Sheeran & Burna Boy),0.826,0.79,10.0,-4.341,1.0,0.126,0.0073,9.9e-06,0.122,0.377,104.032,44
Billie Eilish,2Fxmhks0bxGSBdJ92vM42m,bad guy,0.701,0.425,7.0,-10.965,1.0,0.375,0.3279999999999999,0.13,0.1,0.562,135.128,96
Noah Cyrus,5a6pdCHlWS2ekOOQ70QnAr,July,0.708,0.186,9.0,-8.953,0.0,0.0422,0.868,0.0,0.0779,0.321,72.541,86
KAROL G,7k4t7uLgtOxPwTpFmtJNTY,Tusa,0.8029999999999999,0.715,2.0,-3.28,1.0,0.298,0.295,0.000134,0.0574,0.574,101.085,87
Martin Garrix,7pWK1kMgHy5lNNiIfuRbkP,Used To Love (with Dean Lewis),0.6509999999999999,0.693,4.0,-4.722,1.0,0.0375,0.4579999999999999,0.0,0.335,0.392,118.97,86
Post Malone,7CZyCXKG6d5ALeq41sLzbw,Take What You Want (feat. Ozzy Osbourne & Travis Scott),0.499,0.8,1.0,-2.665,0.0,0.0502,0.0906,0.0,0.147,0.272,139.91899999999998,92
JP Saxe,2kJwzbxV2ppxnQoYw4GLBZ,If The World Was Ending (feat. Julia Michaels),0.4639999999999999,0.473,1.0,-10.086,1.0,0.129,0.866,0.0,0.109,0.604,75.801,84
Dan + Shay,2wrJq5XKLnmhRXHIAf9xBa,"10,000 Hours (with Justin Bieber)",0.654,0.63,10.0,-4.644,1.0,0.0259,0.153,0.0,0.111,0.43,89.991,95
Ed Sheeran,4evmHXcjt3bTUHD1cvny97,Beautiful People (feat. Khalid),0.64,0.648,5.0,-8.113,0.0,0.187,0.124,0.0,0.0802,0.5479999999999999,92.977,93
